 Technical	188	"Why do we model a past year, as the total energy figures are already known?"	"The final version of 2007 shows modelled data for the same time period. So when you look at each sector, e.g. the nuclear sector, you have already got legacy capacity in the system
As we already know what happened in 2007, this means that you can use existing capacity to work out what generation would have been. It's quite interesting to see how close that gets to the published statistics, and making that comparison is a very good way to check the sector you're constructing is working correctly. You'll have published data then modelled data
If it's wrong, maybe load factor is wrong. Or it could be that a power station was being shut down for x weeks. Or for example, a coal fired power station had a different kind of imported fuel.
All this allows you can make assessment to how close model matches the outputs just for that one year period. This then gives you confidence in your future results."	Amber	Ed/Ruth			Mexican workshop
Agriculture & waste	101	"In waste management (sheet name) what do the following abbreviations stand for?
MSW, C&I, CDW, EFW, odt, GCV"	"The abbreviations are:
- municipal solid waste (MSW)
- commercial and industrial (C&I) waste 
- construction and demolition waste (CDW)
- energy from waste (EFW)
- odt (oven-dry tonnes) - this is a unit to express the dried weight of an agricultural commodity such as biomass that contained significant water weight when harvested
- Gross Calorific Value (GCV)
Note: the latest version of the UK's 2050 calculator spells out these abbreviations in more detail."	Green	Ruth		RC done	Ruth question idea
Agriculture & waste	19	"Regarding land use change, how do the different uses (1st gen, 2nd gen.etc.) of grasslands and arable lands affect emissions? (VI.a sheet)"	Farming and biofuels production require energy and this has associated emissions. Crop land and grassland have different emissions factors but emissions are not differentiated by crop type.	Amber	wiki	We could say more about other countries	TC/GH	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Agriculture & waste	173	"In the UK, agriculture is in the demand sector, but should we divide into supply & demand?"	TBD	Red				Discussion with Colombian team
Agriculture & waste	75	"In the sheet, there are only dairy cows while in Vietnam (2010) we have about 130,000 dairy cow heads and about 5,000,000 non-dairy cow heads and 2,913,000 buffalos. Do you think we are missing some GHG from these cattle?"	"The goal of the UK version was to include the main categories of farm animals without getting into too much detail. If you think the emissions factor is very different for dairy, non-dairy and buffalo, then you might want to have a category for each one.
What weÕd recommend though is to have one category in the Calculator for all cattle/buffalo (dairy, non-diary, buffalo), e.g. add up the totals you mentioned in your email (130000+500000+2913000= 8043000) and multiply these by a single emissions factor. This will save you work, and will make the model easier to manage."	Green	Ed		RC done	Vietnam team
Agriculture & waste	76	"In the Vietnam model, for the first generation energy crops I count: sugarcane, soybean, peanut, coconut and sunflower (but no data for sunflower)
Same for second generation energy crop I count: rice straw, maize straw, peanut and soybean residue, sugarcane residue and cassava root, (there is jatropha but no data about it)"	"Your work on first and second generation biocrops sounds correct. For sunflower and jatropha even if there is no data for Vietnam at the moment, you might still want to include scenarios out to 2050 for what could be achieved with these crops.
When you have your workshops, some questions you might want to ask your experts would be: Will sunflower/jatropha be an option in Vietnam in the next 30 years? Are there any other 1st or second generation biofuels that should be considered in the Vietnam Calculator?"	Green	Ed		RC done	Vietnam team
Agriculture & waste	171	We included a trajectory of meat consumption. How should it be calculated in terms of the reduction of cow production?	TBD	Red	Ed		EH	Discussion with Colombian team
Agriculture & waste	139	What assumptions are made about landfill gas?	"The capture rate of landfill gas was assumed to be 75% in 2007. Half of this was assumed to be flared, and half used for energy, in order to match the levels of landfill gas recovered for energy as reported by DUKES."	Amber	PAR		GH	PAR
Agriculture & waste	53	What does biogenic mean?	"A biogenic substance is a substance produced by life processes. It may be either constituents, or secretions, of plants or animals. A more specific name for these substances is biomolecules. You can read more at the Wikipedia page below:
http://en.wikipedia.org/wiki/Biogenic_substance"	Green	Ruth		RC done	Colombian team
Agriculture & waste	18	With considering the forest area Ð is it only because of bioenergy uses or also adding the total CO2 absorption capacity of plants?	We include the CO2 sequestered by forests. The model covers all emissions and should reflect aggregate net emissions data.	Amber	wiki	"We could say more about other countries, and our plans to improve"	TC/GH	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
